president,years_in_office,year_first_inaugurated,age_at_inauguration,state_elected_from,num_electoral_votes,rating _points,political_party,occupation,college
George Washington,8,1789,57,Virginia,69,842,Federalist,Planter,None
John Adams,4,1797,61,Massachusetts,132,598,Federalist,Lawyer,Harvard
Thomas Jefferson,8,1801,57,Virginia,73,711,Democratic-Republican,"Planter, Lawyer",William and Mary
James Madison,8,1809,57,Virginia,122,567,Democratic-Republican,Lawyer,Princeton
James Monroe,8,1817,58,Virginia,183,602,Democratic-Republican,Lawyer,William and Mary
John Quincy Adams,4,1825,57,Massachusetts,84,564,Democratic-Republican,Lawyer,Harvard
Andrew Jackson,8,1829,61,Tennessee,178,632,Democrat,Lawyer,None
Martin van Buren,4,1837,54,New York,170,429,Democrat,Lawyer,None
William Henry Harrison,0.8,1841,68,Ohio,234,329,Whig,Soldier,Hampden-Sydney
John Tyler,4,1841,51,Virginia,NA(),369,Whig,Lawyer,William and Mary
James Polk,4,1845,49,Tennessee,170,632,Democrat,Lawyer,U. of North Carolina
Zachary Taylor,1,1849,64,Louisiana,163,447,Whig,Soldier,None
Millard Fillmore,3,1850,50,New York,NA(),395,Whig,Lawyer,None
Franklin Pierce,4,1853,48,New Hampshire,254,286,Democrat,Lawyer,Bowdoin
James Buchanan,4,1857,65,Pennsylvania,174,259,Democrat,Lawyer,Dickinson
Abraham Lincoln,4,1861,52,Illinois,180,900,Republican,Lawyer,None
Andrew Johnson,4,1865,56,Tennessee,NA(),280,Republican,Tailor,None
Ulysses S. Grant,8,1869,46,Illinois,214,403,Republican,Soldier,US Military Academy
Rutherford B. Hayes,4,1877,54,Ohio,185,477,Republican,Lawyer,Kenyon
James A. Garfield,0.5,1881,49,Ohio,214,444,Republican,Lawyer,Williams
Chester A. Arthur,3,1881,50,New York,NA(),423,Republican,Lawyer,Union
Grover Cleveland,4,1885,47,New York,219,576,Democrat,Lawyer,None
Benjamin Harrison,4,1889,55,Indiana,233,426,Republican,Lawyer,Miami
Grover Cleveland,4,1893,55,New York,277,576,Democrat,Lawyer,None
William McKinley,4,1897,54,Ohio,271,601,Republican,Lawyer,Allegheny College
Theodore Roosevelt,8,1901,42,New York,NA(),810,Republican,Author,Harvard
William H. Taft,4,1909,51,Ohio,321,491,Republican,Lawyer,Yale
Woodrow Wilson,8,1913,56,New Jersey,435,723,Democrat,Educator,Princeton
Warren Harding,2,1921,55,Ohio,404,326,Republican,Editor,None
Calvin Coolidge,6,1923,51,Massachusetts,NA(),451,Republican,Lawyer,Amherst
Herbert Hoover,4,1929,54,California,444,400,Republican,Engineer,Stanford
Franklin D. Roosevelt,12,1933,51,New York,472,876,Democrat,Lawyer,Harvard
Harry S. Truman,8,1945,60,Missouri,NA(),753,Democrat,Businessman,None
Dwight D. Eisenhower,8,1953,62,New York,442,699,Republican,Soldier,US Military Academy
John F. Kennedy,3,1961,43,Massachusetts,303,704,Democrat,Author,Harvard
Lyndon B. Johnson,5,1963,55,Texas,NA(),655,Democrat,Teacher,Southwest Texas State
Richard Nixon,5,1969,56,New York,301,477,Republican,Lawyer,Whittier
Gerald R. Ford,3,1974,61,Michigan,NA(),495,Republican,Lawyer,Michigan
Jimmy Carter,4,1977,52,Georgia,297,518,Democrat,Businessman,US Naval Academy
Ronald Reagan,8,1981,69,California,489,634,Republican,Actor,Eureka College
George H.W. Bush,4,1989,64,Texas,426,548,Republican,Businessman,Yale
William J. Clinton,8,1993,46,Arkansas,370,539,Democrat,Lawyer,Georgetown
George W. Bush,8,2001,54,Texas,271,,Republican,Businessman,Yale
Barack Obama,n/a,2009,47,Illinois,365,,Democrat,Lawyer,Columbia University
